timestamp,event,event2,gluc_mmol_L,kh_g,Dauer (hh:mm:ss),delta_time_s
2025-12-05 22:21:25,EGV,,4.7,,,80485.0
2025-12-05 22:26:26,EGV,,4.8,,,80786.0
2025-12-05 22:31:26,EGV,,4.7,,,81086.0
2025-12-05 22:36:26,EGV,,4.6,,,81386.0
2025-12-05 22:41:26,EGV,,4.8,,,81686.0
2025-12-05 22:46:25,EGV,,5.2,,,81985.0
2025-12-05 22:51:25,EGV,,5.1,,,82285.0
2025-12-05 22:56:26,EGV,,5.3,,,82586.0
2025-12-05 23:01:27,EGV,,5.5,,,82887.0
2025-12-05 23:06:25,EGV,,5.8,,,83185.0
2025-12-05 23:11:26,EGV,,5.9,,,83486.0
2025-12-05 23:16:25,EGV,,5.9,,,83785.0
2025-12-05 23:21:26,EGV,,5.9,,,84086.0
2025-12-05 23:26:26,EGV,,5.9,,,84386.0
2025-12-05 23:31:25,EGV,,5.6,,,84685.0
2025-12-05 23:36:26,EGV,,5.5,,,84986.0
2025-12-05 23:41:26,EGV,,5.5,,,85286.0
2025-12-05 23:46:26,EGV,,5.7,,,85586.0
2025-12-05 23:51:25,EGV,,5.5,,,85885.0
2025-12-05 23:56:26,EGV,,5.6,,,86186.0
2025-12-06 00:01:26,EGV,,5.6,,,86.0
2025-12-06 00:06:25,EGV,,5.6,,,385.0
2025-12-06 00:11:25,EGV,,5.7,,,685.0
2025-12-06 00:16:25,EGV,,5.7,,,985.0
2025-12-06 00:21:26,EGV,,4.9,,,1286.0
2025-12-06 00:26:26,EGV,,5.0,,,1586.0
2025-12-06 00:31:26,EGV,,5.1,,,1886.0
2025-12-06 00:36:25,EGV,,5.1,,,2185.0
2025-12-06 00:41:25,EGV,,5.0,,,2485.0
2025-12-06 00:46:26,EGV,,5.1,,,2786.0
2025-12-06 00:51:25,EGV,,5.2,,,3085.0
2025-12-06 00:56:26,EGV,,5.2,,,3386.0
2025-12-06 01:01:27,EGV,,5.3,,,3687.0
2025-12-06 01:06:26,EGV,,5.3,,,3986.0
2025-12-06 01:11:26,EGV,,5.7,,,4286.0
2025-12-06 01:16:25,EGV,,6.0,,,4585.0
2025-12-06 01:21:26,EGV,,5.7,,,4886.0
